"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Caatinga  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"producer's accuracy";0.8753673642185232;0.17654677435294375;0.6622803568824425;0.22224905223088717;1.0;0.5930835037967888;0.8224684125921237;0.81326683447835;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.008559957879111658;0.010497352154156571;0.018495778644938104;0.02376376352166785;0.037147211508442114;0.03811537191144271;0.044135410246280905;0.012448319806923762;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9914400421208883;0.9895026478458434;0.9815042213550619;0.9762362364783321;0.9628527884915579;0.9618846280885573;0.9558645897537191;0.18673316552164998;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.12702288431007158;0.06027506463689035;0.04931242890987658;0.005320693329132471;0.0;0.00024114905586191575;0.0009025799059013823;0.12153740007386715;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.6075843216648817;0.010606020195093132;0.05746793684179898;0.0018987650299466116;0.0;6.147016249581173e-05;0.0015023033784906839;0.6791208172727069;0.6791208172727069;0.009153833966535116;0.8946630793985817;0.009016758578739213;0.1053369206014183;0.00915383396653524
"2.2. Formação Campestre (Campo)";0.024480902821268902;0.006707494325654258;0.00627200829172108;0.0001093779480379732;0.0;9.829476938624809e-05;0.0;0.037668078156068464;0.037668078156068464;-0.0010877005294321132;0.17806839780525557;0.010239141795252852;0.8219316021947445;0.0010877005294320993
"3.1. Pastagem";0.015510525352777381;0.003584932959261603;0.13116116492189403;0.0008843400113870641;0.0;0.00012481179834381102;0.0;0.1512657750436639;0.1512657750436639;0.051920389199100865;0.867090820008911;0.02423245950235741;0.13290917999108898;0.051920389199100775
"3.2. Agricultura";0.0005771618131535225;0.00010165194872893181;0.00812446646868712;0.0007266638912687598;0.0;0.0;0.0;0.009529944121838335;0.009529944121838335;-0.005910797241197925;0.07625059307573208;0.008155783436459549;0.9237494069242679;0.005910797241197926
"3.3 Mosaico de Agricultura ou Pastagem";0.04001073059189782;0.015334272560377386;0.0;0.0;0.05349414250709403;0.0004681306617387997;0.0005826716687619306;0.10988994798986995;0.10988994798986995;-0.056395805482775965;0.48679741400938026;0.016157899188723457;0.5132025859906197;0.056395805482775924
"4.1. Infraestrutura Urbana";6.160559000311293e-05;0.0;6.147016249581173e-05;0.0;0.0;0.0012340778671728143;0.0;0.001357153619671739;0.001357153619671739;0.0006296316394657458;0.9093133225929917;0.05679074813260522;0.09068667740700831;0.0006296316394657458
"5.1. Rio, Lago e Oceano";4.940340525963228e-05;0.0002460056375210489;9.911755616764532e-05;0.0;0.0;0.0;0.010773757197233448;0.011168283796181774;0.011168283796181774;0.0016904484483042878;0.9646743755667092;0.05433795748121286;0.03532562443329079;0.0016904484483042884
"total";0.6882746512392421;0.036580377626636365;0.20318616424276467;0.003619146880640409;0.05349414250709403;0.001986785259137485;0.012858732244486063;0.9999999999999999;0.9999999999999999;0;0.8116816223751986;0.012711949377717741;0.18831837762480141;0.063394303253406
"adj population";0.688274651239241;0.036580377626636365;0.20318616424276456;0.0036191468806404093;0.05349414250709399;0.0019867852591374845;0.012858732244486063;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";7.151931823029507e-17;1.572912783476602e-16;8.326231512692317e-17;4.840954665132277e-16;1.4152987197272961e-16;7.088898733123505e-16;3.052110644084769e-16;1.951799187911663e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8827643449761267;0.18336317886369036;0.6455221270144356;0.20078319980762324;1.0;0.6211430558471928;0.837855318268512;0.8116816223751988;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.008913603104373577;0.01057568618468899;0.017110452688897274;0.021088516830168096;0.036063706298741734;0.03848184178932951;0.04477145072751292;0.01265615564965471;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9910863968956264;0.989424313815311;0.9828895473111027;0.9789114831698319;0.9639362937012582;0.9615181582106704;0.9552285492724871;0.1883183776248012;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.1430729912156503;0.05974576660196421;0.040209220243539734;0.005784965978743298;0.0;0.00024615150499784954;0.0007890531978966518;0.12492407437139603;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.5902740741686278;0.010736532669233868;0.05925801233084973;0.0019839966458724224;0.0;6.058650369645638e-05;0.0017907650406157204;0.664103967358896;0.664103967358896;0.000943927672089423;0.888827808868714;0.009229555392556989;0.11117219113128596;0.0009439276720895062
"2.2. Formação Campestre (Campo)";0.02380688902259778;0.005930104868770621;0.00602257671811386;0.0002039606047277928;0.0;9.688174175833705e-05;0.0;0.03606041295596839;0.03606041295596839;0.0012397074954406916;0.1644491669025416;0.00993049895263287;0.8355508330974584;0.001239707495440695
"3.1. Pastagem";0.01641341333255032;0.004263332561103503;0.14747585690257817;0.001112845075473521;0.0;0.0;0.0;0.1692654478717055;0.1692654478717055;0.05272694892659344;0.8712697054058972;0.023033880792632036;0.1287302945941028;0.05272694892659335
"3.2. Agricultura";0.0002292396381707037;0.0;0.009096307647149169;0.0008518870637426819;0.0;0.0;0.0;0.010177434349062554;0.010177434349062554;-0.006024744959246135;0.08370351844334414;0.008531974042796368;0.9162964815566559;0.006024744959246136
"3.3 Mosaico de Agricultura ou Pastagem";0.03421486567361606;0.016224668828955187;0.0;0.0;0.05814191481218351;0.00036236223435223485;0.00042640823853626873;0.10937021978764326;0.10937021978764326;-0.05122830497545978;0.5316064548930565;0.017260488220855567;0.46839354510694353;0.05122830497545975
"4.1. Infraestrutura Urbana";6.071998437779124e-05;0.0;0.00013964319960794536;0.0;0.0;0.0014835032440695555;0.0;0.0016838664280552922;0.0016838664280552922;0.00031946729582129165;0.8810100488688183;0.05496353763482473;0.11898995113118171;0.00031946729582129187
"5.1. Rio, Lago e Oceano";4.8693211045020154e-05;0.00014548152334590295;0.0;0.0;0.0;0.0;0.009144476514280738;0.009338651248671661;0.009338651248671661;0.002022998544761066;0.979207411303796;0.05981061248505109;0.02079258869620404;0.002022998544761066
"total";0.6650478950309855;0.03730012045140908;0.22199239679829885;0.004152689389816418;0.05814191481218351;0.002003333723876584;0.011361649793432727;1.0;1.0;0;0.8133018175742528;0.01301204109763812;0.1866981824257472;0.0572530499347059
"adj population";0.6650478950309833;0.037300120451409104;0.22199239679829855;0.004152689389816418;0.05814191481218342;0.0020033337238765836;0.011361649793432725;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.890239833249376e-17;1.5158857352076624e-16;7.902346842597753e-17;4.415260036796275e-16;1.3513173138767918e-16;6.801728931258792e-16;3.1947757238367226e-16;1.8758226408560956e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8875662618872374;0.15898353133995305;0.6643284140788559;0.20514105047966083;1.0;0.7405172819628265;0.8048546364777445;0.8133018175742528;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.009339481777345676;0.009600456812618003;0.016717488778841126;0.02094188355616367;0.03453021840120055;0.046090221621054056;0.046386401491718104;0.012994434593282814;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9906605182226543;0.990399543187382;0.9832825112211588;0.9790581164438363;0.9654697815987995;0.953909778378946;0.9536135985082819;0.1866981824257472;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.14765978638053645;0.060260616174395536;0.04357918193825466;0.006601604652147472;0.0;0.0004007263679714733;0.0003883494687818463;0.12944513249104372;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.57896893323444;0.011188439760826662;0.06550677514082928;0.0024735210346196372;0.0;0.00035795417917024316;0.0020235988540508137;0.6605192222039366;0.6605192222039366;-0.010239666166557401;0.8765360852067409;0.009227861090120167;0.12346391479325913;0.01023966616655747
"2.2. Formação Campestre (Campo)";0.022710027743345212;0.005383835166990345;0.004908170781340873;9.606704609489622e-05;0.0;9.679311347523758e-05;0.0;0.03319489385124657;0.03319489385124657;0.0037674636428034446;0.16218865440921318;0.010195711053852627;0.8378113455907868;0.003767463642803448
"3.1. Pastagem";0.016117983782876773;0.004564776357505188;0.15697305479610674;0.0013471594819682556;0.0;0.0001229050399688017;0.00013555612160794794;0.1792614355800337;0.1792614355800337;0.05731267230390573;0.8756655009940714;0.02253687972451555;0.12433449900592863;0.05731267230390577
"3.2. Agricultura";0.00014978844563945747;0.0;0.009046591712901507;0.0009402729383020571;0.0;0.0;0.0;0.01013665309684302;0.01013665309684302;-0.005279632595858176;0.09275970375220764;0.009096266242016692;0.9072402962477923;0.005279632595858174
"3.3 Mosaico de Agricultura ou Pastagem";0.032223509727823785;0.015583058816147287;0.0;0.0;0.05652513043088006;4.5068051360370305e-05;0.0007276281937287535;0.10510439521994025;0.10510439521994025;-0.04857926478906024;0.5377998732840449;0.017957193998006774;0.4622001267159551;0.04857926478906019
"4.1. Infraestrutura Urbana";6.066443719348634e-05;0.0;0.00013951545276108705;0.0;0.0;0.0014520170342761142;0.0;0.0016521969242306875;0.0016521969242306875;0.0004225404940200794;0.8788401751517707;0.051802204396688825;0.12115982484822929;0.0004225404940200795
"5.1. Rio, Lago e Oceano";4.8648666060431783e-05;0.0002422473925805295;0.0;0.0;0.0;0.0;0.0098403070651302;0.01013120312377116;0.01013120312377116;0.0025958871107465533;0.9712871161413767;0.060488412508950665;0.02871288385862325;0.002595887110746554
"total";0.6502795560373791;0.03696235749405002;0.23657410788393948;0.004857020500984847;0.05652513043088006;0.002074737418250767;0.012727090234517714;0.9999999999999999;0.9999999999999999;0;0.8100835506661254;0.013151612135848683;0.18991644933387464;0.06409856355147583
"adj population";0.6502795560373781;0.03696235749405002;0.23657410788393857;0.004857020500984847;0.056525130430880054;0.002074737418250767;0.01272709023451771;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.823643194458159e-17;1.5194240416240763e-16;7.728473356408752e-17;4.097820743597987e-16;1.363650439498423e-16;6.795933151369641e-16;3.0115387077275425e-16;1.824357873890436e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.890338513427231;0.1456572451542628;0.6635259293595884;0.19359048167727522;1.0;0.6998558089824808;0.7731780700699251;0.810083550666125;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.009607565528622332;0.009146376843518062;0.016218789324121043;0.018679300926626695;0.03529075238085329;0.040898202220973505;0.04508581707480124;0.013166825134100781;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9903924344713777;0.990853623156482;0.983781210675879;0.9813206990733733;0.9647092476191467;0.9591017977790265;0.9549141829251988;0.18991644933387497;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.1426212456058782;0.05562211736851245;0.04457676156785395;0.007833495125365578;0.0;0.0004003597799091467;0.0005817921172819214;0.12581788578240063;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1989 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.5701276389412171;0.012048903211171233;0.07095330654715748;0.002680943566939425;0.0;0.0003582592876567056;0.0019057003478688615;0.6580747519020108;0.6580747519020108;-0.02014246589103988;0.8663569560956362;0.009255694523310943;0.13364304390436377;0.020142465891039962
"2.2. Formação Campestre (Campo)";0.022299325426625813;0.005565122700956534;0.0063774712812731576;9.614893051680987e-05;0.0;9.687561677334373e-05;0.0;0.03443494395614566;0.03443494395614566;0.0026987197617026094;0.1616126545187339;0.010170569040243759;0.838387345481266;0.002698719761702606
"3.1. Pastagem";0.01613503621821462;0.004808185921814097;0.15860188111607215;0.0018368614526314774;0.0;0.00010795877582135594;0.0;0.1814899234845537;0.1814899234845537;0.06432766960538633;0.873888081888857;0.022354446094726057;0.12611191811114297;0.06432766960538633
"3.2. Agricultura";0.00014991612043304295;0.0;0.009647613249859759;0.000839711670079363;0.0;0.0;0.0;0.010637241040372166;0.010637241040372166;-0.005183575420205091;0.07894073913455137;0.008286697092367842;0.9210592608654486;0.0051835754202050905
"3.3 Mosaico de Agricultura ou Pastagem";0.02903909717325252;0.014565979558084525;0.0;0.0;0.05885793832495601;0.00019847433891479087;0.0005436011808520075;0.10320509057605985;0.10320509057605985;-0.04434715225110386;0.5703007283500129;0.018819711517632044;0.4296992716499871;0.04434715225110384
"4.1. Infraestrutura Urbana";6.071614558436784e-05;0.0;0.00013963437119005674;0.0;0.0;0.0014532546863149105;0.0;0.0016536052030893351;0.0016536052030893351;0.0005612175023917717;0.8788401751517708;0.051701717118175124;0.12115982484822918;0.0005612175023917716
"5.1. Rio, Lago e Oceano";0.00012055598564341447;0.00014547232582187903;9.768652438743659e-05;0.0;0.0;0.0;0.010140729001917528;0.010504443837770258;0.010504443837770258;0.002085586692868139;0.9653751458458998;0.05961030798134352;0.034624854154100215;0.0020855866928681382
"total";0.6379322860109709;0.037133663717848264;0.24581759308994003;0.005453665620167076;0.05885793832495601;0.0022148227054811067;0.012590030530638396;1.0000000000000002;1.0000000000000002;0;0.8055862764415136;0.013240373550253043;0.1944137235584864;0.06967319356234886
"adj population";0.6379322860109701;0.03713366371784827;0.24581759308993925;0.005453665620167076;0.05885793832495598;0.0022148227054811067;0.012590030530638388;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.791347436877655e-17;1.5190549099224952e-16;7.647065941836848e-17;3.905487740351516e-16;1.3424615756681907e-16;6.499702428413857e-16;3.041933129518001e-16;1.775248112174551e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8937118428450449;0.14986732101744274;0.6452015054025952;0.15397197565142218;1.0;0.6561494437990388;0.8054570620174124;0.8055862764415133;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.00987911509147998;0.009418061013233664;0.015605573772536616;0.015897274891070765;0.03433494079872213;0.03749200744898415;0.04702219848619791;0.013270689481546376;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.99012088490852;0.9905819389867664;0.9843944262274634;0.9841027251089293;0.9656650592012779;0.9625079925510158;0.9529778015138021;0.19441372355848674;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.1356092941395075;0.05773964251037825;0.045776084736963096;0.009227907900175424;0.0;0.0004007010335488493;0.0007274296717054603;0.1247405299961393;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1990 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.5617603826866964;0.012060740546720608;0.07152189502457133;0.0029492418263597046;0.0;0.00025470024356987045;0.0012772453187841573;0.649824205646702;0.649824205646702;-0.02199565687844232;0.8644805438228251;0.00944066413370929;0.13551945617717487;0.02199565687844207
"2.2. Formação Campestre (Campo)";0.02203807202959868;0.005230511488529014;0.006068800224035025;9.622437938034e-05;0.0;9.69516358736087e-05;9.09453196024174e-05;0.03362150507701908;0.03362150507701908;0.003315822133631484;0.15557041472554908;0.009810893091253606;0.8444295852744509;0.0033158221336314977
"3.1. Pastagem";0.015587405078288442;0.005236251817457729;0.1678632459488647;0.0020044443659109935;0.0;0.00010804349196848357;0.0;0.19079939070249036;0.19079939070249036;0.06518064941120609;0.8797892138482262;0.021896970557541737;0.12021078615177383;0.0651806494112061
"3.2. Agricultura";0.00020277624777088088;0.0;0.010296807598535686;0.0008403705987940135;0.0;0.0;0.0;0.01133995444510058;0.01133995444510058;-0.005449673274655532;0.07410705244562028;0.0077365656332267765;0.9258929475543797;0.005449673274655529
"3.3 Mosaico de Agricultura ou Pastagem";0.028130420595707424;0.014075878616777933;0.0;0.0;0.05837761968686344;0.0003328521515214366;0.00052142014722928;0.10143819119809952;0.10143819119809952;-0.04306057151123608;0.5754994149378833;0.018657786170724822;0.42450058506211674;0.04306057151123608
"4.1. Infraestrutura Urbana";6.0763790047573485e-05;0.0;7.911373037140627e-05;0.0;0.0;0.0015150252803932836;0.0;0.0016549028008122633;0.0016549028008122633;0.0006526700025144196;0.9154768966791739;0.0535441171670894;0.08452310332082613;0.0006526700025144196
"5.1. Rio, Lago e Oceano";4.872834015029798e-05;0.0003339447411652883;0.00015017758731830866;0.0;0.0;0.0;0.010788999461144562;0.011321850129778457;0.011321850129778457;0.00135676011698196;0.9529360782446322;0.057145822513943643;0.04706392175536778;0.0013567601169819608
"total";0.6278285487682599;0.03693732721065058;0.25598004011369646;0.005890281170445052;0.05837761968686344;0.002307572803326683;0.012678610246760418;1.0;1.0;0;0.806376155151285;0.013358508834226146;0.19362384484871498;0.07050590166433383
"adj population";0.6278285487682584;0.03693732721065057;0.25598004011369546;0.005890281170445052;0.05837761968686339;0.002307572803326683;0.012678610246760412;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.773478669346306e-17;1.5184640854710495e-16;7.555502942651902e-17;3.796386298613174e-16;1.362609278243039e-16;6.374372344633423e-16;3.076077855149634e-16;1.756080802331014e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8947671841123139;0.14160503435183147;0.6557669335246061;0.14267071035770568;1.0;0.656544954165332;0.8509607323800588;0.8063761551512851;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.010095175942039005;0.008931506836339148;0.015450312779919498;0.014685203949507583;0.03357584526061562;0.037171968805694136;0.04910004364148535;0.013377792583210145;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.989904824057961;0.9910684931636609;0.9845496872200805;0.9853147960504924;0.9664241547393844;0.9628280311943058;0.9508999563585147;0.19362384484871487;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.13213633216312703;0.05678198717698013;0.04587228950725131;0.010099821143302077;0.0;0.00027975504083795934;0.0010657013372677888;0.12311794318438316;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1991 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.5543620046725986;0.01201254946960856;0.07618411513959521;0.003193495495416577;0.0;0.0002549038233537551;0.0017568440156797238;0.6477639126162525;0.6477639126162525;-0.02878136097419838;0.855808719620682;0.009424869933975523;0.14419128037931805;0.02878136097419859
"2.2. Formação Campestre (Campo)";0.02130512585342996;0.00566334345548571;0.005186871171047824;0.00025685343007576767;0.0;9.702912850887976e-05;9.101801143910542e-05;0.032600241049987246;0.032600241049987246;0.0042762985168489955;0.17372090736390197;0.011249857029493857;0.826279092636098;0.004276298516849006
"3.1. Pastagem";0.015751767538212936;0.006148713868714554;0.17699205676450935;0.001744741823865268;0.0;0.00012320472489577177;0.0;0.2007604847201979;0.2007604847201979;0.06827810428478073;0.881608036617291;0.021424395810227502;0.11839196338270896;0.06827810428478073
"3.2. Agricultura";0.00025589479190885777;0.0;0.010596368964508898;0.0009872569503932061;0.0;0.0;0.0;0.011839520706810961;0.011839520706810961;-0.005657173007060147;0.08338656393626331;0.0075898543814839755;0.9166134360637367;0.005657173007060142
"3.3 Mosaico de Agricultura ou Pastagem";0.027198179139557816;0.01286342395783465;0.0;0.0;0.05422247342209315;0.0002572309647718049;0.000778575581918091;0.0953198830661755;0.0953198830661755;-0.04109740964408237;0.5688474605497508;0.018603592657631247;0.43115253945024923;0.04109740964408235
"4.1. Infraestrutura Urbana";6.081235803899946e-05;0.0;7.917696531733949e-05;0.0;0.0;0.0015770485855238102;0.0;0.0017170379088801491;0.0017170379088801491;0.0005923793181738726;0.9184704527300507;0.05236808116724103;0.08152954726994932;0.0005923793181738725
"5.1. Rio, Lago e Oceano";4.876728830683609e-05;0.0001885088151927684;0.0;0.0;0.0;0.0;0.009761643828199907;0.009998919931699511;0.009998919931699511;0.002389161505537316;0.9762698266292372;0.06408619287820151;0.023730173370762775;0.002389161505537316
"total";0.618982551642054;0.03687653956683625;0.2690385890049786;0.006182347699750819;0.05422247342209315;0.0023094172270540217;0.012388081437236827;1.0;1.0;0;0.8035658276788035;0.013366873969712792;0.19643417232119653;0.07553594362534101
"adj population";0.6189825516420511;0.036876539566836244;0.269038589004978;0.006182347699750818;0.05422247342209312;0.0023094172270540217;0.012388081437236822;1.0;NaN;NaN;NaN;NaN;NaN;NaN
